,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119
1282,1282,0.883,0.883,0.654,0.883,0.770,0.828,0.964,0.883,0.883,0.883,0.883,0.770,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.723,0.920,0.770,0.883,0.883,0.883,0.723,0.883,0.731,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.770,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.867,0.867,0.883,0.883,0.883,0.867,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.654,0.883,0.770,0.828,0.964,0.883,0.883,0.883,0.883,0.770,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.723,0.920,0.770,0.883,0.883,0.883,0.723,0.883,0.731,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.770,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.867,0.867,0.883,0.883,0.883,0.867,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883
1283,1283,0.996,0.996,0.996,0.996,0.805,0.987,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.921,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.921,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.921,0.996,0.996,0.996,0.996,0.921,0.996,0.921,0.921,0.996,0.921,0.996,0.996,0.996,0.996,0.921,0.996,0.996,0.996,0.996,0.805,0.987,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.921,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.921,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.921,0.996,0.996,0.996,0.996,0.921,0.996,0.921,0.921,0.996,0.921,0.996,0.996,0.996,0.996,0.921,0.996
1284,1284,0.736,0.736,0.779,0.736,0.746,0.923,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.840,0.923,0.911,0.736,0.736,0.736,0.736,0.923,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.923,0.923,0.736,0.923,0.736,0.736,0.736,0.736,0.923,0.923,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.779,0.736,0.746,0.923,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.840,0.923,0.911,0.736,0.736,0.736,0.736,0.923,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.923,0.923,0.736,0.923,0.736,0.736,0.736,0.736,0.923,0.923,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736
1285,1285,0.019,0.084,0.084,0.011,0.019,0.437,0.019,0.151,0.019,0.019,0.155,0.019,0.019,0.019,0.011,0.019,0.019,0.019,0.019,0.019,0.019,0.085,0.437,0.559,0.019,0.054,0.019,0.011,0.355,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.439,0.437,0.563,0.437,0.054,0.019,0.019,0.404,0.437,0.439,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.084,0.084,0.011,0.019,0.437,0.019,0.151,0.019,0.019,0.155,0.019,0.019,0.019,0.011,0.019,0.019,0.019,0.019,0.019,0.019,0.085,0.437,0.559,0.019,0.054,0.019,0.011,0.355,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.439,0.437,0.563,0.437,0.054,0.019,0.019,0.404,0.437,0.439,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
1286,1286,0.002,0.002,0.001,0.001,0.001,0.009,0.006,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.009,0.001,0.006,0.001,0.002,0.006,0.007,0.002,0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.007,0.009,0.006,0.009,0.002,0.003,0.002,0.006,0.009,0.007,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.009,0.006,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.009,0.001,0.006,0.001,0.002,0.006,0.007,0.002,0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.007,0.009,0.006,0.009,0.002,0.003,0.002,0.006,0.009,0.007,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
1287,1287,0.994,0.994,0.994,0.994,0.994,0.988,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.986,0.994,0.994,0.994,0.994,0.994,0.994,0.988,0.988,0.994,0.994,0.994,0.994,0.988,0.988,0.994,0.994,0.994,0.988,0.994,0.994,0.994,0.994,0.988,0.994,0.994,0.994,0.988,0.988,0.994,0.988,0.994,0.994,0.994,0.994,0.988,0.988,0.988,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.988,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.986,0.994,0.994,0.994,0.994,0.994,0.994,0.988,0.988,0.994,0.994,0.994,0.994,0.988,0.988,0.994,0.994,0.994,0.988,0.994,0.994,0.994,0.994,0.988,0.994,0.994,0.994,0.988,0.988,0.994,0.988,0.994,0.994,0.994,0.994,0.988,0.988,0.988,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994
1288,1288,0.960,0.960,0.872,0.960,0.860,0.905,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.852,0.960,0.960,0.960,0.960,0.960,0.880,0.960,0.960,0.960,0.960,0.960,0.880,0.960,0.960,0.960,0.960,0.960,0.880,0.880,0.880,0.880,0.880,0.880,0.960,0.960,0.960,0.880,0.852,0.880,0.880,0.960,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.960,0.872,0.960,0.860,0.905,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.852,0.960,0.960,0.960,0.960,0.960,0.880,0.960,0.960,0.960,0.960,0.960,0.880,0.960,0.960,0.960,0.960,0.960,0.880,0.880,0.880,0.880,0.880,0.880,0.960,0.960,0.960,0.880,0.852,0.880,0.880,0.960,0.880,0.880,0.880,0.880,0.880,0.880,0.880
1289,1289,0.973,0.973,0.921,0.973,0.925,0.940,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.940,0.940,0.940,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.940,0.940,0.973,0.940,0.973,0.973,0.973,0.973,0.940,0.940,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.921,0.973,0.925,0.940,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.940,0.940,0.940,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.940,0.940,0.973,0.940,0.973,0.973,0.973,0.973,0.940,0.940,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
1290,1290,0.943,0.943,0.933,0.884,0.933,0.957,0.943,0.943,0.882,0.943,0.943,0.943,0.943,0.943,0.884,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.880,0.943,0.943,0.882,0.943,0.943,0.882,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.889,0.889,0.943,0.885,0.943,0.943,0.943,0.943,0.882,0.889,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.933,0.884,0.933,0.957,0.943,0.943,0.882,0.943,0.943,0.943,0.943,0.943,0.884,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.880,0.943,0.943,0.882,0.943,0.943,0.882,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.889,0.889,0.943,0.885,0.943,0.943,0.943,0.943,0.882,0.889,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943
1291,1291,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.965,0.999,0.999,0.964,0.999,0.961,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.959,0.999,0.999,0.959,0.999,0.999,0.959,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.959,0.999,0.999,0.959,0.999,0.959,0.999,0.999,0.999,0.999,0.959,0.959,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.965,0.999,0.999,0.964,0.999,0.961,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.959,0.999,0.999,0.959,0.999,0.999,0.959,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.959,0.999,0.999,0.959,0.999,0.959,0.999,0.999,0.999,0.999,0.959,0.959,0.999
1292,1292,0.963,0.963,0.963,0.784,0.784,0.868,0.963,0.963,0.748,0.963,0.963,0.963,0.963,0.963,0.940,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.784,0.963,0.741,0.963,0.761,0.868,0.963,0.784,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.868,0.741,0.963,0.868,0.741,0.868,0.788,0.963,0.830,0.743,0.963,0.963,0.963,0.963,0.788,0.963,0.963,0.963,0.963,0.784,0.784,0.868,0.963,0.963,0.748,0.963,0.963,0.963,0.963,0.963,0.940,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.784,0.963,0.741,0.963,0.761,0.868,0.963,0.784,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.868,0.741,0.963,0.868,0.741,0.868,0.788,0.963,0.830,0.743,0.963,0.963,0.963,0.963,0.788,0.963,0.963
1293,1293,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.935,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.936,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.935,0.999,0.999,0.935,0.999,0.935,0.999,0.935,0.935,0.999,0.935,0.935,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.935,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.936,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.935,0.999,0.999,0.935,0.999,0.935,0.999,0.935,0.935,0.999,0.935,0.935,0.999
1294,1294,0.970,0.970,0.970,0.970,0.970,0.977,0.970,0.970,0.970,0.970,0.970,0.970,0.832,0.970,0.971,0.970,0.970,0.970,0.970,0.970,0.970,0.977,0.927,0.970,0.970,0.970,0.970,0.917,0.927,0.970,0.970,0.970,0.917,0.970,0.914,0.970,0.914,0.917,0.970,0.970,0.970,0.927,0.927,0.970,0.927,0.970,0.970,0.970,0.970,0.927,0.927,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.977,0.970,0.970,0.970,0.970,0.970,0.970,0.832,0.970,0.971,0.970,0.970,0.970,0.970,0.970,0.970,0.977,0.927,0.970,0.970,0.970,0.970,0.917,0.927,0.970,0.970,0.970,0.917,0.970,0.914,0.970,0.914,0.917,0.970,0.970,0.970,0.927,0.927,0.970,0.927,0.970,0.970,0.970,0.970,0.927,0.927,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970,0.970
1295,1295,0.060,0.060,0.060,0.060,0.060,0.709,0.060,0.399,0.060,0.060,0.440,0.060,0.080,0.060,0.074,0.060,0.060,0.060,0.060,0.060,0.080,0.059,0.513,0.060,0.060,0.174,0.060,0.080,0.718,0.060,0.060,0.076,0.060,0.080,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.333,0.704,0.060,0.718,0.060,0.060,0.060,0.175,0.718,0.668,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.709,0.060,0.399,0.060,0.060,0.440,0.060,0.080,0.060,0.074,0.060,0.060,0.060,0.060,0.060,0.080,0.059,0.513,0.060,0.060,0.174,0.060,0.080,0.718,0.060,0.060,0.076,0.060,0.080,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.333,0.704,0.060,0.718,0.060,0.060,0.060,0.175,0.718,0.668,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060
1296,1296,0.999,0.999,0.999,0.999,0.999,0.956,0.999,0.999,0.961,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.987,0.999,0.956,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.956,0.956,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.956,0.956,0.999,0.956,0.999,0.956,0.999,0.999,0.999,0.999,0.956,0.956,0.999,0.999,0.999,0.999,0.999,0.956,0.999,0.999,0.961,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.987,0.999,0.956,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.956,0.956,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.956,0.956,0.999,0.956,0.999,0.956,0.999,0.999,0.999,0.999,0.956,0.956,0.999
1297,1297,0.951,0.951,0.590,0.922,0.762,0.955,0.951,0.933,0.922,0.951,0.945,0.951,0.951,0.951,0.922,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.590,0.951,0.951,0.951,0.951,0.941,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.941,0.941,0.955,0.951,0.951,0.951,0.941,0.941,0.951,0.951,0.941,0.951,0.955,0.955,0.951,0.951,0.951,0.951,0.951,0.590,0.922,0.762,0.955,0.951,0.933,0.922,0.951,0.945,0.951,0.951,0.951,0.922,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.590,0.951,0.951,0.951,0.951,0.941,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.941,0.941,0.955,0.951,0.951,0.951,0.941,0.941,0.951,0.951,0.941,0.951,0.955,0.955,0.951,0.951,0.951,0.951
1298,1298,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.001,0.004,0.000,0.001,0.001,0.001,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.001,0.004,0.000,0.001,0.001,0.001,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1299,1299,0.839,0.839,0.885,0.839,0.888,0.908,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.908,0.907,0.893,0.839,0.839,0.839,0.839,0.885,0.839,0.888,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.907,0.907,0.907,0.839,0.839,0.839,0.893,0.907,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.885,0.839,0.888,0.908,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.908,0.907,0.893,0.839,0.839,0.839,0.839,0.885,0.839,0.888,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.907,0.907,0.907,0.839,0.839,0.839,0.893,0.907,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839
1300,1300,0.995,0.995,0.995,0.941,0.995,0.987,0.995,0.995,0.995,0.995,0.995,0.995,0.782,0.995,0.938,0.995,0.995,0.995,0.995,0.995,0.782,0.995,0.995,0.995,0.995,0.938,0.995,0.938,0.938,0.995,0.995,0.938,0.995,0.782,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.938,0.995,0.938,0.938,0.995,0.938,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.938,0.995,0.995,0.995,0.995,0.941,0.995,0.987,0.995,0.995,0.995,0.995,0.995,0.995,0.782,0.995,0.938,0.995,0.995,0.995,0.995,0.995,0.782,0.995,0.995,0.995,0.995,0.938,0.995,0.938,0.938,0.995,0.995,0.938,0.995,0.782,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.938,0.995,0.938,0.938,0.995,0.938,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.938,0.995,0.995
1301,1301,0.914,0.914,0.914,0.914,0.914,0.978,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.978,0.914,0.914,0.914,0.914,0.914,0.914,0.978,0.978,0.914,0.914,0.946,0.914,0.978,0.974,0.914,0.914,0.914,0.978,0.978,0.914,0.914,0.914,0.971,0.914,0.914,0.914,0.978,0.978,0.914,0.978,0.914,0.914,0.914,0.914,0.978,0.978,0.974,0.914,0.914,0.914,0.974,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.978,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.978,0.914,0.914,0.914,0.914,0.914,0.914,0.978,0.978,0.914,0.914,0.946,0.914,0.978,0.974,0.914,0.914,0.914,0.978,0.978,0.914,0.914,0.914,0.971,0.914,0.914,0.914,0.978,0.978,0.914,0.978,0.914,0.914,0.914,0.914,0.978,0.978,0.974,0.914,0.914,0.914,0.974,0.914,0.914,0.914,0.914,0.914
1302,1302,0.998,0.998,0.998,0.998,0.907,0.914,0.998,0.998,0.937,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.907,0.998,0.998,0.998,0.998,0.914,0.998,0.907,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.907,0.907,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.907,0.914,0.998,0.998,0.937,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.907,0.998,0.998,0.998,0.998,0.914,0.998,0.907,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.907,0.907,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
1303,1303,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.988,1.000,1.000,1.000,1.000,0.962,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.962,1.000,1.000,0.962,1.000,0.962,1.000,1.000,0.962,1.000,0.962,0.962,0.962,1.000,1.000,1.000,1.000,1.000,1.000,0.988,1.000,1.000,1.000,1.000,0.962,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.962,1.000,1.000,0.962,1.000,0.962,1.000,1.000,0.962,1.000,0.962,0.962,0.962
1304,1304,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.940,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.940,0.940,0.999,0.940,0.999,0.940,0.999,0.999,0.999,0.999,0.940,0.940,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.940,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.940,0.940,0.999,0.940,0.999,0.940,0.999,0.999,0.999,0.999,0.940,0.940,0.999
1305,1305,0.874,0.874,0.874,0.874,0.874,0.964,0.874,0.874,0.789,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.964,0.851,0.874,0.874,0.878,0.874,0.874,0.878,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.878,0.874,0.874,0.858,0.874,0.878,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.964,0.874,0.874,0.789,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.964,0.851,0.874,0.874,0.878,0.874,0.874,0.878,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.878,0.874,0.874,0.858,0.874,0.878,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874
1306,1306,0.975,0.975,0.908,0.907,0.907,0.983,0.975,0.975,0.907,0.975,0.975,0.975,0.975,0.975,0.747,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.910,0.906,0.975,0.975,0.975,0.975,0.926,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.907,0.907,0.975,0.908,0.975,0.908,0.908,0.975,0.908,0.908,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.908,0.907,0.907,0.983,0.975,0.975,0.907,0.975,0.975,0.975,0.975,0.975,0.747,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.910,0.906,0.975,0.975,0.975,0.975,0.926,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.907,0.907,0.975,0.908,0.975,0.908,0.908,0.975,0.908,0.908,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
1307,1307,0.997,0.997,0.997,0.871,0.871,0.997,0.997,0.997,0.776,0.864,0.997,0.997,0.997,0.915,0.997,0.997,0.997,0.915,0.997,0.997,0.997,0.997,0.997,0.871,0.997,0.997,0.997,0.997,0.890,0.997,0.871,0.997,0.997,0.997,0.997,0.809,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.890,0.997,0.997,0.890,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.871,0.871,0.997,0.997,0.997,0.776,0.864,0.997,0.997,0.997,0.915,0.997,0.997,0.997,0.915,0.997,0.997,0.997,0.997,0.997,0.871,0.997,0.997,0.997,0.997,0.890,0.997,0.871,0.997,0.997,0.997,0.997,0.809,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.890,0.997,0.997,0.890,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
1308,1308,0.987,0.987,0.987,0.987,0.888,0.918,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.889,0.889,0.987,0.889,0.987,0.987,0.889,0.987,0.888,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.889,0.889,0.987,0.987,0.889,0.889,0.889,0.889,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.888,0.918,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.889,0.889,0.987,0.889,0.987,0.987,0.889,0.987,0.888,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.889,0.889,0.987,0.987,0.889,0.889,0.889,0.889,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
