,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31
595,595,0.375,0.375,0.375,0.430,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.342,0.630,0.375,0.401,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.344,0.375,0.375,0.375,0.375,0.375
596,596,0.675,0.675,0.675,0.606,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.607,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675
597,597,0.470,0.470,0.470,0.601,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.454,0.280,0.470,0.600,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.470,0.525,0.470,0.470,0.470
598,598,0.259,0.195,0.259,0.647,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.259,0.172,0.350,0.239,0.259,0.586,0.259,0.259,0.259,0.259,0.386,0.153,0.245,0.259,0.179,0.259,0.222,0.259,0.177,0.176,0.259
599,599,0.189,0.189,0.189,0.627,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.133,0.423,0.639,0.189,0.428,0.189,0.189,0.189,0.189,0.399,0.133,0.389,0.123,0.189,0.189,0.145,0.184,0.143,0.389,0.189
600,600,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770,0.770
601,601,0.608,0.608,0.608,0.662,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.588,0.669,0.608,0.588,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608
602,602,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824
603,603,0.131,0.131,0.131,0.131,0.097,0.134,0.097,0.131,0.102,0.131,0.303,0.131,0.131,0.113,0.161,0.121,0.131,0.103,0.131,0.131,0.131,0.131,0.131,0.177,0.109,0.131,0.311,0.116,0.091,0.100,0.131,0.131,0.131
604,604,0.094,0.102,0.094,0.497,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.102,0.211,0.163,0.094,0.405,0.094,0.094,0.094,0.094,0.257,0.102,0.096,0.085,0.102,0.094,0.116,0.101,0.094,0.114,0.094
605,605,0.514,0.464,0.514,0.669,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.481,0.669,0.514,0.514,0.669,0.514,0.514,0.514,0.514,0.660,0.514,0.628,0.514,0.669,0.514,0.514,0.514,0.514,0.485,0.514
606,606,0.178,0.150,0.178,0.589,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.156,0.589,0.178,0.178,0.594,0.178,0.178,0.178,0.178,0.594,0.150,0.201,0.151,0.156,0.178,0.178,0.178,0.148,0.178,0.178
607,607,0.127,0.124,0.126,0.313,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.158,0.336,0.230,0.127,0.643,0.127,0.127,0.127,0.127,0.313,0.163,0.344,0.131,0.128,0.218,0.174,0.643,0.127,0.518,0.127
608,608,0.341,0.341,0.341,0.663,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.191,0.182,0.353,0.341,0.486,0.341,0.341,0.341,0.341,0.328,0.183,0.341,0.376,0.341,0.341,0.341,0.341,0.183,0.341,0.341
609,609,0.677,0.677,0.677,0.599,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.599,0.651,0.677,0.599,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677,0.677
610,610,0.814,0.822,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.822,0.814,0.814,0.814,0.822,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814
611,611,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.245,0.373,0.373,0.258,0.373,0.373,0.265,0.373,0.373,0.373,0.417,0.373,0.373,0.373,0.373,0.373,0.228,0.357,0.373,0.358,0.373,0.236,0.373,0.373,0.373,0.373
612,612,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.657,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728
613,613,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.387,0.557,0.557,0.453,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.375,0.557,0.557,0.557,0.557,0.353,0.557,0.557,0.557
614,614,0.469,0.435,0.469,0.648,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.499,0.513,0.640,0.469,0.575,0.469,0.469,0.469,0.469,0.469,0.383,0.469,0.469,0.501,0.469,0.469,0.469,0.469,0.469,0.469
615,615,0.245,0.245,0.245,0.588,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.450,0.196,0.245,0.568,0.245,0.245,0.245,0.245,0.372,0.245,0.283,0.214,0.245,0.194,0.148,0.245,0.245,0.140,0.245
616,616,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.561,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701
617,617,0.807,0.819,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.819,0.807,0.807,0.807,0.819,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807
618,618,0.498,0.530,0.498,0.506,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.578,0.498,0.451,0.498,0.576,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.546,0.498,0.498,0.498,0.498,0.498,0.498
619,619,0.814,0.822,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.822,0.814,0.814,0.814,0.822,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814
620,620,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.637,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688
621,621,0.167,0.163,0.167,0.621,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.302,0.284,0.249,0.167,0.646,0.167,0.167,0.167,0.167,0.379,0.220,0.180,0.167,0.201,0.221,0.262,0.209,0.354,0.180,0.167
622,622,0.058,0.058,0.059,0.255,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.062,0.199,0.224,0.058,0.489,0.058,0.058,0.058,0.058,0.118,0.056,0.087,0.066,0.064,0.070,0.095,0.085,0.061,0.091,0.058
623,623,0.447,0.447,0.447,0.647,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.375,0.379,0.447,0.643,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.322,0.447,0.447,0.447
624,624,0.292,0.292,0.292,0.578,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.156,0.151,0.343,0.292,0.502,0.292,0.292,0.292,0.292,0.502,0.447,0.292,0.348,0.170,0.292,0.292,0.292,0.447,0.292,0.292
625,625,0.218,0.193,0.218,0.623,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.279,0.250,0.364,0.218,0.624,0.218,0.218,0.218,0.218,0.218,0.200,0.218,0.218,0.181,0.223,0.218,0.240,0.218,0.245,0.218
626,626,0.293,0.339,0.293,0.426,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.365,0.395,0.504,0.293,0.548,0.293,0.293,0.293,0.293,0.293,0.364,0.293,0.293,0.365,0.293,0.293,0.293,0.293,0.293,0.293
627,627,0.811,0.820,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.820,0.811,0.811,0.811,0.820,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811
628,628,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.663,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758
629,629,0.117,0.107,0.117,0.545,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.067,0.115,0.096,0.117,0.564,0.117,0.117,0.117,0.117,0.564,0.067,0.093,0.117,0.068,0.117,0.096,0.117,0.066,0.086,0.117
630,630,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750
631,631,0.107,0.086,0.102,0.603,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.173,0.143,0.325,0.107,0.610,0.107,0.107,0.107,0.107,0.185,0.211,0.149,0.116,0.140,0.147,0.108,0.136,0.185,0.153,0.107
632,632,0.275,0.242,0.275,0.513,0.275,0.275,0.275,0.275,0.272,0.275,0.199,0.275,0.275,0.272,0.391,0.468,0.275,0.287,0.275,0.275,0.275,0.275,0.275,0.338,0.275,0.275,0.408,0.275,0.275,0.275,0.275,0.275,0.275
633,633,0.542,0.542,0.542,0.425,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.572,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.545,0.542,0.542,0.542,0.542,0.542
634,634,0.493,0.415,0.493,0.590,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.626,0.493,0.363,0.493,0.629,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.494,0.493,0.493,0.493,0.439,0.493,0.493
635,635,0.383,0.383,0.383,0.667,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.260,0.342,0.383,0.667,0.383,0.383,0.383,0.383,0.667,0.490,0.383,0.383,0.383,0.383,0.383,0.383,0.490,0.383,0.383
636,636,0.696,0.696,0.696,0.670,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.670,0.696,0.696,0.696,0.696,0.670,0.670,0.696,0.696,0.696,0.696,0.696,0.696,0.670,0.696,0.696
637,637,0.344,0.344,0.344,0.666,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.297,0.429,0.344,0.344,0.666,0.344,0.344,0.344,0.344,0.397,0.345,0.236,0.370,0.184,0.344,0.344,0.344,0.345,0.344,0.344
638,638,0.817,0.823,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.823,0.817,0.817,0.817,0.823,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817
639,639,0.245,0.245,0.148,0.582,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.161,0.270,0.383,0.245,0.656,0.245,0.245,0.245,0.245,0.656,0.156,0.197,0.196,0.165,0.245,0.245,0.245,0.159,0.184,0.245
640,640,0.161,0.138,0.161,0.448,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.293,0.188,0.369,0.161,0.510,0.161,0.161,0.161,0.161,0.222,0.258,0.161,0.175,0.160,0.161,0.161,0.161,0.275,0.161,0.161
641,641,0.138,0.135,0.114,0.497,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.145,0.173,0.269,0.138,0.200,0.138,0.138,0.138,0.138,0.179,0.152,0.119,0.139,0.120,0.123,0.141,0.191,0.123,0.121,0.138
642,642,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756
643,643,0.250,0.185,0.250,0.582,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.250,0.283,0.373,0.337,0.250,0.569,0.250,0.250,0.250,0.250,0.554,0.185,0.250,0.250,0.373,0.250,0.250,0.250,0.350,0.250,0.250
644,644,0.081,0.078,0.081,0.354,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.107,0.295,0.151,0.081,0.393,0.081,0.081,0.081,0.081,0.196,0.103,0.092,0.083,0.102,0.117,0.132,0.115,0.096,0.256,0.081
645,645,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796
646,646,0.814,0.821,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.821,0.814,0.814,0.814,0.821,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814
647,647,0.176,0.167,0.176,0.545,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.168,0.174,0.639,0.176,0.366,0.176,0.176,0.176,0.176,0.207,0.167,0.176,0.187,0.167,0.180,0.176,0.231,0.176,0.195,0.176
648,648,0.262,0.259,0.262,0.204,0.262,0.262,0.262,0.262,0.231,0.262,0.176,0.262,0.262,0.261,0.168,0.262,0.262,0.200,0.262,0.262,0.262,0.262,0.262,0.181,0.176,0.360,0.182,0.262,0.190,0.262,0.179,0.262,0.262
649,649,0.114,0.103,0.115,0.487,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.110,0.420,0.161,0.114,0.512,0.114,0.114,0.114,0.114,0.244,0.225,0.103,0.149,0.160,0.122,0.139,0.130,0.244,0.164,0.114
650,650,0.419,0.361,0.419,0.612,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.559,0.419,0.419,0.419,0.648,0.419,0.419,0.419,0.419,0.419,0.406,0.419,0.419,0.338,0.419,0.419,0.419,0.419,0.419,0.419
651,651,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742
652,652,0.126,0.125,0.126,0.582,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.153,0.594,0.381,0.126,0.628,0.126,0.126,0.126,0.126,0.240,0.237,0.192,0.157,0.138,0.117,0.126,0.184,0.133,0.243,0.126
653,653,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.289,0.446,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.443,0.470,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.360,0.621,0.621,0.621
654,654,0.545,0.545,0.545,0.521,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.412,0.561,0.545,0.520,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545
655,655,0.529,0.529,0.529,0.645,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.556,0.541,0.529,0.558,0.529,0.529,0.529,0.529,0.529,0.529,0.438,0.529,0.529,0.545,0.529,0.556,0.529,0.529,0.529
656,656,0.666,0.666,0.666,0.588,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.645,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666
657,657,0.546,0.546,0.546,0.587,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.661,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.483,0.546,0.546,0.546,0.546,0.546,0.546,0.546
658,658,0.803,0.818,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.818,0.803,0.803,0.803,0.818,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803
659,659,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698
660,660,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765
661,661,0.660,0.660,0.660,0.455,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.588,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660
662,662,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747
663,663,0.230,0.230,0.230,0.598,0.230,0.230,0.230,0.230,0.230,0.230,0.230,0.230,0.230,0.192,0.534,0.275,0.230,0.444,0.230,0.230,0.230,0.230,0.598,0.267,0.230,0.230,0.230,0.230,0.166,0.230,0.363,0.230,0.230
664,664,0.404,0.378,0.404,0.528,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.378,0.452,0.466,0.404,0.562,0.404,0.404,0.404,0.404,0.404,0.378,0.404,0.404,0.378,0.404,0.404,0.404,0.404,0.404,0.404
665,665,0.287,0.285,0.287,0.597,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.510,0.287,0.362,0.287,0.590,0.287,0.287,0.287,0.287,0.492,0.493,0.287,0.287,0.287,0.287,0.287,0.287,0.492,0.287,0.287
666,666,0.383,0.383,0.383,0.598,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.341,0.353,0.383,0.586,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.304,0.383,0.383,0.383,0.383,0.383
667,667,0.173,0.150,0.173,0.538,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.331,0.160,0.241,0.173,0.367,0.173,0.173,0.173,0.173,0.195,0.331,0.173,0.279,0.184,0.173,0.173,0.173,0.385,0.173,0.173
668,668,0.189,0.170,0.189,0.568,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.276,0.240,0.423,0.189,0.301,0.189,0.189,0.189,0.189,0.208,0.276,0.189,0.212,0.170,0.189,0.189,0.189,0.208,0.189,0.189
669,669,0.228,0.238,0.228,0.631,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.390,0.253,0.631,0.228,0.575,0.228,0.228,0.228,0.228,0.228,0.333,0.228,0.228,0.239,0.253,0.228,0.332,0.228,0.332,0.228
670,670,0.104,0.104,0.104,0.093,0.104,0.098,0.085,0.075,0.095,0.104,0.103,0.104,0.104,0.082,0.093,0.081,0.088,0.133,0.104,0.104,0.104,0.104,0.078,0.087,0.081,0.091,0.090,0.086,0.072,0.083,0.088,0.104,0.104
671,671,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.659,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729,0.729
672,672,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.662,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
673,673,0.448,0.454,0.448,0.659,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.524,0.448,0.668,0.448,0.524,0.448,0.448,0.448,0.448,0.448,0.454,0.448,0.448,0.454,0.448,0.448,0.448,0.448,0.448,0.448
674,674,0.158,0.156,0.158,0.545,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.161,0.383,0.194,0.158,0.545,0.158,0.158,0.158,0.158,0.313,0.170,0.568,0.193,0.198,0.158,0.158,0.158,0.166,0.245,0.158
675,675,0.238,0.238,0.238,0.650,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.253,0.159,0.390,0.238,0.322,0.238,0.238,0.238,0.238,0.313,0.253,0.238,0.346,0.238,0.238,0.238,0.238,0.313,0.238,0.238
676,676,0.183,0.183,0.183,0.525,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.131,0.432,0.159,0.183,0.560,0.183,0.183,0.183,0.183,0.376,0.169,0.206,0.206,0.183,0.183,0.226,0.183,0.169,0.206,0.183
677,677,0.124,0.124,0.124,0.120,0.114,0.085,0.114,0.099,0.110,0.124,0.221,0.124,0.124,0.099,0.208,0.080,0.124,0.101,0.124,0.124,0.124,0.124,0.093,0.108,0.081,0.120,0.214,0.094,0.148,0.108,0.088,0.124,0.124
678,678,0.318,0.395,0.318,0.326,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.489,0.318,0.245,0.318,0.616,0.318,0.318,0.318,0.318,0.275,0.369,0.318,0.318,0.333,0.318,0.318,0.318,0.239,0.318,0.318
679,679,0.226,0.226,0.226,0.553,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.264,0.154,0.206,0.226,0.349,0.226,0.226,0.226,0.226,0.312,0.305,0.226,0.212,0.226,0.226,0.226,0.226,0.312,0.226,0.226
680,680,0.178,0.169,0.178,0.443,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.185,0.321,0.170,0.178,0.590,0.178,0.178,0.178,0.178,0.455,0.252,0.372,0.291,0.179,0.178,0.178,0.178,0.242,0.178,0.178
681,681,0.153,0.128,0.153,0.608,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.210,0.272,0.447,0.153,0.577,0.153,0.153,0.153,0.153,0.310,0.464,0.281,0.153,0.244,0.246,0.271,0.174,0.273,0.246,0.153
682,682,0.454,0.382,0.454,0.630,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.407,0.432,0.450,0.454,0.633,0.454,0.454,0.454,0.454,0.454,0.382,0.396,0.454,0.382,0.396,0.396,0.476,0.454,0.454,0.454
683,683,0.699,0.699,0.699,0.671,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.671,0.699,0.699,0.699,0.699,0.671,0.671,0.699,0.699,0.699,0.699,0.699,0.699,0.671,0.699,0.699
684,684,0.516,0.670,0.516,0.670,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.670,0.660,0.660,0.516,0.670,0.516,0.516,0.516,0.516,0.670,0.670,0.660,0.516,0.670,0.516,0.516,0.516,0.670,0.516,0.516
685,685,0.722,0.722,0.722,0.672,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.672,0.722,0.722,0.672,0.722,0.722,0.722,0.722,0.672,0.722,0.722,0.722,0.722,0.722,0.672,0.722,0.722,0.672,0.722
686,686,0.292,0.157,0.351,0.595,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.504,0.313,0.427,0.292,0.593,0.292,0.292,0.292,0.292,0.235,0.417,0.292,0.292,0.497,0.292,0.292,0.292,0.401,0.292,0.292
687,687,0.167,0.129,0.167,0.575,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.134,0.355,0.231,0.167,0.511,0.167,0.167,0.167,0.167,0.369,0.163,0.139,0.152,0.160,0.167,0.322,0.167,0.163,0.138,0.167
688,688,0.391,0.391,0.391,0.662,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.193,0.354,0.391,0.391,0.662,0.391,0.391,0.391,0.391,0.662,0.662,0.339,0.391,0.194,0.391,0.391,0.391,0.662,0.340,0.391
689,689,0.626,0.626,0.626,0.597,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.590,0.657,0.626,0.596,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626
690,690,0.696,0.696,0.696,0.662,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.662,0.666,0.696,0.662,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696
691,691,0.411,0.411,0.411,0.643,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.389,0.411,0.528,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.380,0.411,0.411,0.411
692,692,0.174,0.164,0.174,0.395,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.193,0.191,0.611,0.174,0.368,0.174,0.174,0.174,0.174,0.174,0.312,0.155,0.174,0.189,0.150,0.174,0.240,0.174,0.179,0.174
693,693,0.552,0.533,0.552,0.614,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.533,0.552,0.552,0.552,0.615,0.552,0.552,0.552,0.552,0.552,0.533,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552
694,694,0.429,0.429,0.429,0.658,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.263,0.658,0.429,0.429,0.660,0.429,0.429,0.429,0.429,0.658,0.386,0.429,0.429,0.429,0.429,0.429,0.209,0.341,0.429,0.429
695,695,0.327,0.327,0.327,0.327,0.327,0.327,0.251,0.327,0.327,0.327,0.386,0.327,0.327,0.271,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.300,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.382,0.327,0.327,0.327
696,696,0.173,0.161,0.173,0.548,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.172,0.338,0.426,0.173,0.253,0.173,0.173,0.173,0.173,0.245,0.173,0.156,0.453,0.154,0.173,0.245,0.256,0.163,0.339,0.173
