,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36
1728,1728,0.132,0.132,0.181,0.132,0.132,0.132,0.132,0.181,0.132,0.132,0.132,0.132,0.181,0.132,0.132,0.132,0.132,0.132,0.132,0.135,0.132,0.132,0.132,0.132,0.330,0.080,0.135,0.320,0.132,0.132,0.132,0.132,0.135,0.132,0.132,0.132,0.132,0.132
1729,1729,0.323,0.199,0.322,0.323,0.199,0.323,0.323,0.444,0.323,0.371,0.323,0.323,0.444,0.323,0.404,0.323,0.323,0.404,0.323,0.404,0.323,0.323,0.799,0.323,0.323,0.385,0.404,0.262,0.799,0.323,0.323,0.799,0.323,0.323,0.323,0.764,0.405,0.799
1730,1730,0.445,0.119,0.429,0.445,0.119,0.445,0.808,0.718,0.445,0.445,0.445,0.445,0.718,0.445,0.119,0.445,0.445,0.119,0.445,0.224,0.445,0.445,0.445,0.445,0.499,0.465,0.224,0.491,0.445,0.177,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445
1731,1731,0.329,0.943,0.387,0.943,0.943,0.329,0.390,0.368,0.329,0.329,0.329,0.329,0.368,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.732,0.329,0.329,0.329,0.329,0.329,0.859,0.329,0.967,0.859,0.329
1732,1732,0.537,0.857,0.302,0.537,0.066,0.537,0.326,0.487,0.537,0.537,0.537,0.537,0.487,0.537,0.087,0.230,0.537,0.087,0.537,0.087,0.537,0.537,0.537,0.537,0.537,0.537,0.087,0.805,0.230,0.260,0.679,0.230,0.537,0.537,0.537,0.814,0.517,0.230
1733,1733,0.042,0.052,0.013,0.052,0.052,0.042,0.079,0.109,0.042,0.042,0.042,0.042,0.109,0.042,0.042,0.042,0.042,0.042,0.042,0.120,0.042,0.042,0.042,0.042,0.120,0.041,0.120,0.377,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.443,0.042,0.042
1734,1734,0.050,0.117,0.057,0.117,0.117,0.050,0.050,0.077,0.050,0.050,0.050,0.050,0.077,0.050,0.042,0.125,0.050,0.042,0.050,0.067,0.050,0.050,0.042,0.050,0.067,0.043,0.067,0.050,0.117,0.050,0.104,0.071,0.067,0.054,0.067,0.247,0.066,0.071
1735,1735,0.137,0.137,0.257,0.137,0.137,0.137,0.137,0.257,0.137,0.028,0.137,0.766,0.257,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.766,0.137,0.137,0.137,0.172,0.137,0.137,0.137,0.045,0.137,0.013,0.137,0.837,0.013,0.837,0.837,0.013
1736,1736,0.021,0.021,0.040,0.021,0.021,0.021,0.021,0.041,0.078,0.039,0.021,0.123,0.041,0.021,0.021,0.021,0.105,0.021,0.021,0.021,0.004,0.123,0.021,0.021,0.021,0.071,0.021,0.084,0.021,0.042,0.021,0.009,0.070,0.021,0.011,0.026,0.092,0.009
1737,1737,0.031,0.031,0.034,0.031,0.013,0.031,0.057,0.027,0.064,0.014,0.064,0.176,0.027,0.013,0.031,0.031,0.031,0.031,0.031,0.013,0.064,0.031,0.017,0.013,0.031,0.083,0.013,0.035,0.031,0.013,0.031,0.064,0.130,0.017,0.064,0.317,0.031,0.064
1738,1738,0.920,0.046,0.928,0.660,0.046,0.966,0.920,0.874,0.920,0.920,0.920,0.920,0.874,0.920,0.639,0.920,0.920,0.639,0.920,0.639,0.920,0.920,0.920,0.920,0.920,0.920,0.639,0.928,0.470,0.639,0.920,0.470,0.920,0.920,0.920,0.920,0.920,0.470
1739,1739,0.844,0.844,0.857,0.844,0.844,0.844,0.963,0.857,0.844,0.844,0.844,0.977,0.857,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.965,0.844,0.844,0.844,0.844,0.844,0.881,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.974,0.844,0.844
1740,1740,0.450,0.087,0.443,0.087,0.087,0.450,0.739,0.473,0.450,0.450,0.450,0.450,0.473,0.450,0.269,0.450,0.450,0.269,0.450,0.463,0.450,0.450,0.450,0.450,0.450,0.448,0.463,0.611,0.450,0.563,0.450,0.450,0.450,0.450,0.450,0.470,0.473,0.450
1741,1741,0.910,0.519,0.976,0.944,0.519,0.910,0.910,0.892,0.910,0.910,0.910,0.910,0.892,0.910,0.519,0.910,0.910,0.519,0.910,0.519,0.910,0.910,0.910,0.910,0.910,0.910,0.519,0.720,0.910,0.910,0.910,0.519,0.910,0.910,0.910,0.910,0.910,0.519
1742,1742,0.396,0.956,0.439,0.956,0.956,0.396,0.439,0.430,0.396,0.396,0.396,0.396,0.430,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.421,0.396,0.396,0.396,0.396,0.396,0.889,0.396,0.975,0.889,0.396
1743,1743,0.971,0.655,0.972,0.992,0.655,0.974,0.972,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.953,0.786,0.971,0.734,0.971,0.953,0.971,0.971,0.971,0.971,0.971,0.991,0.953,0.991,0.866,0.951,0.874,0.866,0.971,0.971,0.971,0.971,0.971,0.866
1744,1744,0.878,0.781,0.877,0.781,0.781,0.875,0.890,0.884,0.878,0.878,0.878,0.878,0.884,0.878,0.878,0.895,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.903,0.878,0.960,0.895,0.898,0.895,0.895,0.878,0.878,0.878,0.979,0.878,0.895
1745,1745,0.928,0.840,0.403,0.928,0.840,0.928,0.928,0.981,0.928,0.928,0.928,0.928,0.981,0.928,0.840,0.928,0.928,0.840,0.928,0.840,0.928,0.928,0.928,0.928,0.928,0.928,0.840,0.923,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928
1746,1746,0.611,0.611,0.686,0.611,0.611,0.611,0.611,0.055,0.611,0.163,0.611,0.420,0.055,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.152,0.611,0.792,0.611,0.611,0.611,0.520,0.611,0.611,0.611,0.756,0.165,0.520
1747,1747,0.021,0.021,0.016,0.021,0.021,0.021,0.009,0.016,0.021,0.021,0.021,0.021,0.016,0.021,0.021,0.021,0.021,0.021,0.021,0.014,0.021,0.021,0.021,0.009,0.014,0.024,0.014,0.021,0.021,0.021,0.021,0.014,0.021,0.028,0.021,0.021,0.021,0.014
1748,1748,0.266,0.842,0.074,0.842,0.842,0.266,0.050,0.344,0.266,0.266,0.266,0.266,0.344,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.845,0.266,0.482,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.711,0.266,0.266
1749,1749,0.149,0.033,0.175,0.149,0.033,0.149,0.149,0.101,0.149,0.149,0.149,0.149,0.101,0.149,0.032,0.149,0.149,0.032,0.149,0.176,0.149,0.149,0.149,0.149,0.145,0.231,0.176,0.149,0.035,0.034,0.149,0.124,0.110,0.121,0.154,0.149,0.032,0.124
1750,1750,0.025,0.025,0.032,0.025,0.025,0.025,0.032,0.032,0.043,0.024,0.043,0.025,0.032,0.025,0.025,0.025,0.025,0.025,0.025,0.021,0.071,0.025,0.085,0.025,0.021,0.074,0.021,0.114,0.025,0.025,0.025,0.024,0.011,0.024,0.021,0.071,0.025,0.024
1751,1751,0.892,0.139,0.810,0.892,0.139,0.892,0.892,0.751,0.892,0.892,0.892,0.892,0.751,0.892,0.139,0.892,0.892,0.139,0.892,0.139,0.892,0.892,0.892,0.892,0.892,0.892,0.139,0.810,0.892,0.144,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892
1752,1752,0.025,0.012,0.032,0.025,0.012,0.025,0.091,0.030,0.036,0.025,0.028,0.025,0.030,0.025,0.012,0.025,0.025,0.012,0.025,0.012,0.037,0.042,0.025,0.025,0.025,0.025,0.012,0.100,0.025,0.039,0.025,0.030,0.037,0.025,0.030,0.033,0.025,0.030
1753,1753,0.443,0.111,0.617,0.479,0.111,0.443,0.614,0.429,0.443,0.443,0.443,0.443,0.429,0.443,0.111,0.678,0.443,0.111,0.443,0.213,0.443,0.443,0.443,0.443,0.288,0.539,0.213,0.691,0.715,0.221,0.443,0.715,0.443,0.443,0.443,0.671,0.246,0.715
1754,1754,0.019,0.019,0.020,0.019,0.019,0.019,0.019,0.020,0.040,0.021,0.040,0.019,0.020,0.019,0.019,0.019,0.019,0.019,0.019,0.017,0.095,0.019,0.040,0.019,0.017,0.020,0.017,0.019,0.019,0.019,0.019,0.011,0.005,0.007,0.011,0.095,0.019,0.011
1755,1755,0.036,0.036,0.049,0.036,0.036,0.036,0.036,0.056,0.194,0.351,0.194,0.036,0.056,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.014,0.036,0.014,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.014,0.014,0.014,0.014,0.014,0.036,0.014
1756,1756,0.093,0.093,0.104,0.093,0.093,0.093,0.093,0.273,0.136,0.155,0.093,0.289,0.273,0.093,0.093,0.093,0.289,0.093,0.093,0.093,0.007,0.289,0.093,0.093,0.093,0.444,0.093,0.268,0.093,0.059,0.093,0.081,0.155,0.093,0.081,0.219,0.192,0.081
1757,1757,0.369,0.369,0.602,0.369,0.369,0.369,0.369,0.613,0.369,0.369,0.369,0.369,0.613,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.036,0.369,0.369,0.369,0.369,0.663,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.835,0.369,0.188,0.369,0.369
1758,1758,0.354,0.118,0.367,0.529,0.118,0.354,0.287,0.538,0.354,0.354,0.354,0.354,0.538,0.354,0.106,0.664,0.354,0.106,0.354,0.095,0.354,0.354,0.354,0.354,0.354,0.354,0.095,0.628,0.679,0.095,0.354,0.679,0.354,0.354,0.354,0.149,0.106,0.679
1759,1759,0.110,0.067,0.410,0.111,0.067,0.110,0.110,0.107,0.613,0.110,0.613,0.110,0.107,0.110,0.028,0.110,0.110,0.028,0.110,0.028,0.613,0.110,0.613,0.110,0.110,0.336,0.028,0.335,0.110,0.067,0.110,0.613,0.613,0.613,0.110,0.110,0.078,0.613
1760,1760,0.136,0.185,0.236,0.149,0.241,0.241,0.235,0.118,0.136,0.136,0.136,0.136,0.118,0.016,0.052,0.136,0.136,0.052,0.136,0.105,0.136,0.136,0.136,0.016,0.099,0.136,0.105,0.256,0.060,0.065,0.136,0.060,0.136,0.513,0.136,0.155,0.101,0.060
1761,1761,0.173,0.173,0.207,0.082,0.173,0.173,0.173,0.207,0.087,0.173,0.082,0.173,0.207,0.082,0.173,0.173,0.173,0.173,0.173,0.082,0.125,0.173,0.173,0.173,0.173,0.723,0.082,0.397,0.173,0.173,0.173,0.048,0.173,0.173,0.076,0.561,0.102,0.048
1762,1762,0.038,0.038,0.050,0.038,0.038,0.038,0.038,0.046,0.119,0.061,0.038,0.046,0.046,0.038,0.038,0.038,0.046,0.038,0.038,0.038,0.068,0.046,0.038,0.038,0.038,0.229,0.038,0.088,0.038,0.038,0.038,0.011,0.065,0.038,0.011,0.256,0.162,0.011
1763,1763,0.049,0.026,0.044,0.049,0.026,0.049,0.049,0.026,0.166,0.173,0.166,0.477,0.026,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.166,0.049,0.166,0.049,0.049,0.269,0.049,0.049,0.049,0.008,0.049,0.166,0.018,0.018,0.668,0.252,0.205,0.166
1764,1764,0.049,0.008,0.059,0.009,0.008,0.049,0.192,0.053,0.044,0.049,0.030,0.049,0.053,0.049,0.011,0.049,0.049,0.011,0.049,0.008,0.038,0.160,0.049,0.049,0.049,0.049,0.008,0.284,0.008,0.008,0.049,0.017,0.038,0.049,0.038,0.038,0.049,0.017
1765,1765,0.161,0.161,0.208,0.146,0.161,0.186,0.421,0.193,0.161,0.132,0.161,0.273,0.193,0.161,0.161,0.161,0.161,0.161,0.161,0.187,0.161,0.161,0.161,0.145,0.187,0.534,0.187,0.185,0.161,0.161,0.161,0.103,0.161,0.028,0.103,0.036,0.167,0.103
1766,1766,0.937,0.937,0.984,0.937,0.937,0.937,0.984,0.930,0.937,0.937,0.937,0.937,0.930,0.937,0.937,0.789,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.387,0.789,0.937,0.789,0.789,0.937,0.937,0.937,0.937,0.937,0.789
1767,1767,0.273,0.948,0.311,0.118,0.948,0.273,0.273,0.370,0.273,0.273,0.118,0.273,0.370,0.107,0.273,0.273,0.273,0.273,0.273,0.118,0.273,0.273,0.273,0.273,0.273,0.294,0.118,0.273,0.273,0.273,0.273,0.045,0.273,0.273,0.273,0.948,0.273,0.045
1768,1768,0.466,0.443,0.464,0.439,0.443,0.776,0.224,0.539,0.466,0.125,0.466,0.510,0.539,0.466,0.174,0.466,0.466,0.174,0.466,0.075,0.466,0.466,0.466,0.466,0.466,0.120,0.075,0.574,0.076,0.076,0.466,0.224,0.466,0.466,0.466,0.693,0.076,0.224
1769,1769,0.635,0.972,0.633,0.635,0.825,0.635,0.630,0.631,0.635,0.635,0.635,0.635,0.631,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.824,0.635,0.933,0.635,0.635,0.635,0.635,0.635,0.933,0.635,0.635
1770,1770,0.481,0.038,0.555,0.481,0.038,0.481,0.481,0.646,0.481,0.117,0.481,0.562,0.646,0.481,0.038,0.481,0.481,0.038,0.481,0.038,0.481,0.481,0.481,0.481,0.481,0.835,0.038,0.481,0.038,0.038,0.481,0.307,0.481,0.481,0.481,0.883,0.117,0.307
1771,1771,0.076,0.133,0.145,0.133,0.133,0.076,0.052,0.049,0.076,0.076,0.076,0.076,0.049,0.076,0.076,0.313,0.076,0.076,0.076,0.100,0.076,0.076,0.076,0.076,0.100,0.087,0.100,0.236,0.100,0.087,0.076,0.100,0.076,0.076,0.100,0.110,0.055,0.100
1772,1772,0.971,0.971,0.972,0.971,0.971,0.993,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971
1773,1773,0.049,0.049,0.067,0.049,0.049,0.049,0.111,0.035,0.159,0.065,0.159,0.138,0.035,0.049,0.049,0.102,0.049,0.049,0.049,0.049,0.012,0.138,0.012,0.049,0.049,0.046,0.049,0.157,0.111,0.049,0.111,0.040,0.016,0.246,0.012,0.159,0.138,0.040
1774,1774,0.234,0.104,0.553,0.234,0.104,0.234,0.362,0.064,0.234,0.145,0.234,0.234,0.064,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.727,0.234,0.234,0.140,0.234,0.569,0.727,0.285,0.234,0.727,0.234,0.234,0.234,0.772,0.234,0.727
1775,1775,0.702,0.115,0.691,0.419,0.115,0.702,0.218,0.641,0.702,0.702,0.702,0.702,0.641,0.702,0.517,0.830,0.702,0.517,0.702,0.290,0.702,0.702,0.702,0.702,0.505,0.658,0.290,0.845,0.830,0.516,0.702,0.830,0.702,0.702,0.702,0.683,0.461,0.830
1776,1776,0.130,0.130,0.140,0.130,0.130,0.130,0.105,0.140,0.130,0.130,0.130,0.130,0.140,0.130,0.130,0.130,0.130,0.130,0.130,0.158,0.130,0.130,0.130,0.130,0.158,0.159,0.158,0.385,0.130,0.130,0.130,0.168,0.143,0.130,0.168,0.130,0.130,0.168
1777,1777,0.138,0.138,0.133,0.138,0.138,0.138,0.195,0.133,0.138,0.138,0.138,0.138,0.133,0.138,0.138,0.195,0.138,0.138,0.138,0.260,0.034,0.138,0.195,0.138,0.260,0.049,0.260,0.138,0.358,0.138,0.138,0.371,0.260,0.072,0.260,0.343,0.138,0.371
1778,1778,0.063,0.063,0.014,0.063,0.063,0.063,0.063,0.014,0.063,0.117,0.063,0.090,0.014,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.566,0.063,0.047,0.795,0.063,0.445,0.795,0.063,0.063,0.063,0.049,0.090,0.795
1779,1779,0.117,0.226,0.145,0.352,0.267,0.192,0.030,0.070,0.117,0.117,0.117,0.117,0.070,0.117,0.148,0.098,0.117,0.148,0.117,0.072,0.117,0.117,0.117,0.117,0.115,0.117,0.072,0.181,0.118,0.244,0.117,0.118,0.117,0.366,0.066,0.137,0.064,0.118
1780,1780,0.350,0.363,0.331,0.363,0.363,0.350,0.338,0.344,0.350,0.492,0.350,0.816,0.344,0.350,0.350,0.455,0.350,0.350,0.350,0.350,0.032,0.180,0.350,0.350,0.350,0.297,0.350,0.195,0.662,0.350,0.350,0.345,0.345,0.350,0.345,0.584,0.048,0.345
1781,1781,0.742,0.106,0.712,0.742,0.106,0.742,0.742,0.718,0.742,0.742,0.742,0.376,0.718,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.376,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.061,0.742,0.742,0.742,0.742,0.742,0.742,0.061,0.742
1782,1782,0.054,0.054,0.025,0.054,0.054,0.054,0.054,0.158,0.054,0.054,0.054,0.249,0.158,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.249,0.054,0.054,0.054,0.054,0.054,0.375,0.054,0.054,0.054,0.249,0.054,0.054,0.249,0.249,0.054,0.249
1783,1783,0.963,0.963,0.949,0.963,0.963,0.963,0.247,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.990,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963
1784,1784,0.053,0.053,0.018,0.053,0.053,0.053,0.053,0.018,0.053,0.125,0.053,0.844,0.018,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.844,0.053,0.053,0.053,0.062,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.844,0.053,0.844,0.844,0.053
1785,1785,0.960,0.960,0.964,0.960,0.960,0.961,0.960,0.964,0.960,0.960,0.960,0.960,0.964,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960,0.960
1786,1786,0.669,0.669,0.748,0.669,0.669,0.669,0.608,0.475,0.669,0.669,0.669,0.669,0.475,0.669,0.669,0.622,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.373,0.669,0.842,0.622,0.669,0.669,0.622,0.669,0.669,0.669,0.335,0.669,0.622
1787,1787,0.027,0.027,0.037,0.027,0.027,0.027,0.036,0.037,0.097,0.070,0.097,0.027,0.037,0.027,0.027,0.027,0.027,0.027,0.027,0.034,0.017,0.027,0.097,0.027,0.034,0.027,0.034,0.125,0.027,0.027,0.027,0.097,0.017,0.097,0.017,0.102,0.027,0.097
1788,1788,0.877,0.549,0.936,0.798,0.307,0.877,0.112,0.958,0.877,0.877,0.877,0.877,0.958,0.102,0.490,0.754,0.877,0.622,0.877,0.729,0.877,0.877,0.877,0.102,0.877,0.877,0.729,0.905,0.478,0.598,0.877,0.478,0.877,0.622,0.877,0.877,0.598,0.478
1789,1789,0.830,0.830,0.231,0.830,0.830,0.830,0.344,0.727,0.830,0.830,0.830,0.830,0.727,0.830,0.830,0.962,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.619,0.830,0.830,0.619,0.830,0.830,0.830,0.524,0.830,0.619
1790,1790,0.960,0.960,0.958,0.204,0.668,0.960,0.071,0.963,0.960,0.960,0.960,0.960,0.963,0.049,0.960,0.960,0.960,0.960,0.960,0.963,0.960,0.960,0.960,0.049,0.960,0.960,0.963,0.960,0.960,0.960,0.960,0.963,0.960,0.960,0.960,0.960,0.960,0.963
1791,1791,0.538,0.538,0.437,0.538,0.538,0.538,0.177,0.724,0.538,0.538,0.538,0.538,0.724,0.538,0.538,0.230,0.538,0.538,0.538,0.538,0.063,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.525,0.538,0.538,0.525,0.538,0.538,0.538,0.485,0.538,0.525
1792,1792,0.119,0.119,0.225,0.119,0.119,0.119,0.119,0.225,0.119,0.119,0.119,0.119,0.225,0.119,0.119,0.119,0.119,0.119,0.119,0.131,0.119,0.119,0.119,0.119,0.131,0.091,0.131,0.372,0.119,0.119,0.119,0.086,0.086,0.091,0.086,0.119,0.119,0.086
1793,1793,0.896,0.679,0.872,0.896,0.679,0.896,0.796,0.829,0.896,0.896,0.896,0.984,0.829,0.896,0.607,0.859,0.984,0.679,0.896,0.607,0.896,0.409,0.896,0.896,0.896,0.896,0.607,0.683,0.895,0.896,0.430,0.895,0.984,0.896,0.896,0.826,0.896,0.895
1794,1794,0.853,0.853,0.961,0.853,0.853,0.853,0.853,0.734,0.853,0.853,0.853,0.383,0.734,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.979,0.853,0.853,0.853,0.853,0.853,0.075,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.979,0.853,0.853
1795,1795,0.322,0.060,0.139,0.060,0.060,0.322,0.028,0.101,0.322,0.322,0.322,0.322,0.101,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.028,0.322,0.322,0.322,0.484,0.322,0.322,0.322,0.028,0.322,0.322,0.322,0.322,0.322,0.028
1796,1796,0.880,0.880,0.794,0.880,0.880,0.880,0.880,0.799,0.880,0.880,0.880,0.880,0.799,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.786,0.880,0.938,0.880,0.931,0.880,0.858,0.880,0.880,0.858,0.931,0.880,0.858
1797,1797,0.354,0.636,0.382,0.359,0.315,0.354,0.102,0.391,0.354,0.199,0.354,0.354,0.391,0.071,0.249,0.338,0.503,0.249,0.354,0.164,0.354,0.354,0.392,0.071,0.354,0.301,0.164,0.588,0.495,0.354,0.582,0.495,0.354,0.354,0.354,0.337,0.429,0.495
1798,1798,0.560,0.458,0.620,0.277,0.420,0.560,0.487,0.490,0.560,0.560,0.560,0.560,0.490,0.560,0.560,0.184,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.560,0.206,0.560,0.824,0.387,0.560,0.560,0.627,0.560,0.430,0.560,0.430,0.560,0.627
1799,1799,0.392,0.722,0.384,0.722,0.722,0.422,0.627,0.343,0.392,0.392,0.392,0.392,0.343,0.392,0.115,0.485,0.392,0.115,0.392,0.115,0.392,0.392,0.392,0.392,0.392,0.420,0.115,0.628,0.409,0.283,0.485,0.409,0.392,0.392,0.392,0.544,0.372,0.409
1800,1800,0.081,0.081,0.074,0.081,0.081,0.081,0.081,0.030,0.071,0.081,0.041,0.081,0.030,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.057,0.185,0.081,0.081,0.081,0.079,0.081,0.618,0.081,0.081,0.081,0.071,0.057,0.081,0.071,0.057,0.081,0.071
1801,1801,0.865,0.251,0.826,0.865,0.196,0.865,0.865,0.142,0.865,0.865,0.865,0.865,0.142,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.213,0.865,0.865,0.865,0.783,0.865,0.161,0.865,0.505,0.865,0.865,0.505,0.505,0.865,0.505
1802,1802,0.398,0.398,0.164,0.398,0.398,0.398,0.398,0.164,0.164,0.398,0.398,0.824,0.164,0.398,0.398,0.398,0.664,0.398,0.398,0.398,0.164,0.811,0.398,0.398,0.398,0.398,0.398,0.811,0.398,0.398,0.398,0.164,0.398,0.398,0.164,0.811,0.398,0.164
1803,1803,0.004,0.032,0.004,0.032,0.032,0.004,0.004,0.008,0.003,0.027,0.003,0.004,0.008,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.010,0.004,0.003,0.004,0.005,0.018,0.005,0.004,0.004,0.004,0.004,0.008,0.015,0.010,0.004,0.032,0.032,0.008
1804,1804,0.229,0.152,0.097,0.668,0.152,0.229,0.393,0.157,0.229,0.185,0.229,0.229,0.157,0.229,0.229,0.229,0.229,0.229,0.229,0.114,0.229,0.229,0.229,0.367,0.229,0.190,0.114,0.524,0.229,0.122,0.229,0.114,0.114,0.229,0.229,0.229,0.229,0.114
1805,1805,0.085,0.085,0.066,0.085,0.085,0.085,0.085,0.066,0.085,0.085,0.085,0.085,0.066,0.085,0.085,0.085,0.085,0.085,0.085,0.086,0.085,0.085,0.085,0.085,0.086,0.085,0.086,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
1806,1806,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.041,0.082,0.024,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.521,0.521,0.521,0.082,0.521,0.082,0.082,0.082,0.521,0.082,0.082,0.082,0.082,0.521,0.521,0.521,0.521,0.521,0.082,0.521
1807,1807,0.988,0.937,0.954,0.988,0.937,0.988,0.931,0.979,0.800,0.988,0.988,0.988,0.979,0.988,0.988,0.965,0.988,0.988,0.988,0.988,0.436,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.962,0.988,0.965,0.769,0.988,0.988,0.988,0.988,0.988,0.769
1808,1808,0.943,0.096,0.943,0.783,0.096,0.980,0.944,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.716,0.943,0.943,0.716,0.943,0.716,0.943,0.943,0.943,0.943,0.943,0.943,0.716,0.945,0.249,0.716,0.943,0.249,0.943,0.943,0.943,0.943,0.943,0.249
1809,1809,0.204,0.204,0.245,0.204,0.204,0.204,0.215,0.168,0.204,0.204,0.204,0.204,0.168,0.204,0.204,0.255,0.204,0.204,0.204,0.237,0.204,0.204,0.204,0.204,0.237,0.159,0.237,0.204,0.255,0.204,0.204,0.255,0.204,0.204,0.204,0.102,0.204,0.255
1810,1810,0.269,0.269,0.304,0.269,0.269,0.269,0.269,0.299,0.427,0.109,0.269,0.444,0.299,0.269,0.304,0.183,0.269,0.269,0.269,0.165,0.427,0.443,0.269,0.298,0.269,0.183,0.165,0.269,0.175,0.116,0.269,0.043,0.120,0.428,0.404,0.644,0.338,0.043
1811,1811,0.755,0.292,0.852,0.755,0.292,0.755,0.755,0.797,0.755,0.804,0.755,0.445,0.797,0.755,0.520,0.755,0.755,0.520,0.755,0.127,0.755,0.755,0.755,0.755,0.755,0.425,0.127,0.905,0.206,0.169,0.755,0.309,0.755,0.755,0.755,0.755,0.348,0.309
1812,1812,0.918,0.144,0.851,0.918,0.144,0.918,0.968,0.744,0.918,0.918,0.918,0.918,0.744,0.918,0.786,0.918,0.918,0.786,0.918,0.786,0.918,0.918,0.918,0.918,0.918,0.945,0.786,0.975,0.494,0.494,0.918,0.494,0.918,0.918,0.918,0.918,0.494,0.494
1813,1813,0.107,0.032,0.328,0.083,0.032,0.107,0.107,0.147,0.054,0.107,0.054,0.107,0.147,0.107,0.024,0.107,0.107,0.024,0.107,0.024,0.596,0.107,0.596,0.107,0.107,0.322,0.024,0.331,0.107,0.059,0.107,0.596,0.596,0.596,0.107,0.107,0.047,0.596
1814,1814,0.705,0.705,0.225,0.705,0.705,0.705,0.225,0.810,0.705,0.705,0.705,0.446,0.810,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.907,0.705,0.705,0.705,0.705,0.705,0.715,0.705,0.705,0.705,0.484,0.705,0.705,0.484,0.907,0.705,0.484
