,id,base,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42
1903,1903,0.006,0.006,0.006,0.006,0.046,0.011,0.006,0.006,0.009,0.006,0.143,0.046,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.053,0.009,0.008,0.006,0.005,0.048,0.011,0.049,0.006,0.027,0.052,0.018,0.008,0.023,0.006,0.024,0.030,0.006,0.023,0.022,0.018
1904,1904,0.082,0.082,0.019,0.082,0.113,0.335,0.082,0.082,0.335,0.082,0.861,0.113,0.082,0.146,0.082,0.082,0.146,0.082,0.146,0.006,0.082,0.082,0.082,0.335,0.082,0.861,0.082,0.006,0.650,0.082,0.335,0.082,0.650,0.082,0.703,0.082,0.225,0.082,0.861,0.703,0.065,0.225,0.196,0.082
1905,1905,0.215,0.449,0.491,0.449,0.835,0.727,0.215,0.215,0.215,0.215,0.215,0.892,0.215,0.180,0.319,0.215,0.180,0.215,0.180,0.215,0.215,0.215,0.215,0.348,0.215,0.215,0.215,0.215,0.413,0.215,0.358,0.348,0.413,0.197,0.619,0.499,0.324,0.147,0.257,0.324,0.566,0.135,0.101,0.477
1906,1906,0.820,0.820,0.820,0.820,0.041,0.074,0.820,0.820,0.820,0.820,0.820,0.041,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.104,0.104,0.820,0.820,0.820,0.820,0.104,0.139,0.820,0.820,0.104,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.820,0.139,0.820
1907,1907,0.077,0.077,0.077,0.077,0.077,0.046,0.077,0.069,0.037,0.069,0.274,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.049,0.069,0.235,0.077,0.077,0.095,0.107,0.097,0.077,0.161,0.284,0.108,0.077,0.161,0.069,0.077,0.047,0.019,0.077,0.108,0.101
1908,1908,0.822,0.104,0.822,0.104,0.321,0.321,0.822,0.822,0.598,0.822,0.948,0.637,0.822,0.277,0.880,0.735,0.104,0.822,0.104,0.822,0.735,0.822,0.822,0.365,0.822,0.948,0.822,0.822,0.794,0.822,0.365,0.227,0.855,0.277,0.905,0.822,0.948,0.822,0.948,0.948,0.822,0.184,0.376,0.078
1909,1909,0.446,0.302,0.446,0.442,0.498,0.046,0.446,0.446,0.110,0.446,0.781,0.424,0.446,0.442,0.446,0.446,0.442,0.446,0.442,0.446,0.446,0.446,0.446,0.110,0.446,0.446,0.446,0.446,0.467,0.446,0.171,0.446,0.467,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.075,0.058
1910,1910,0.286,0.302,0.286,0.484,0.484,0.302,0.286,0.286,0.286,0.286,0.918,0.286,0.286,0.484,0.286,0.286,0.484,0.286,0.484,0.286,0.286,0.286,0.286,0.286,0.286,0.918,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.918,0.286,0.918,0.918,0.286,0.276,0.302,0.276
1911,1911,0.664,0.672,0.664,0.672,0.536,0.536,0.664,0.664,0.664,0.664,0.296,0.664,0.664,0.536,0.840,0.536,0.672,0.664,0.316,0.664,0.831,0.664,0.664,0.664,0.664,0.296,0.664,0.664,0.664,0.296,0.664,0.664,0.664,0.536,0.664,0.296,0.296,0.664,0.296,0.296,0.296,0.296,0.664,0.296
1912,1912,0.787,0.725,0.593,0.725,0.827,0.724,0.787,0.787,0.787,0.787,0.787,0.885,0.787,0.787,0.867,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.470,0.787,0.787,0.787,0.787,0.558,0.787,0.470,0.470,0.558,0.867,0.780,0.787,0.787,0.787,0.787,0.787,0.787,0.412,0.625,0.509
1913,1913,0.180,0.183,0.199,0.180,0.199,0.019,0.180,0.015,0.180,0.028,0.219,0.199,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.180,0.027,0.047,0.173,0.048,0.180,0.180,0.219,0.024,0.180,0.180,0.180,0.022,0.024,0.028,0.028,0.108,0.300,0.208,0.162,0.022,0.180
1914,1914,0.910,0.910,0.910,0.910,0.782,0.782,0.910,0.910,0.910,0.910,0.910,0.782,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.495,0.910,0.910,0.910,0.910,0.495,0.910,0.495,0.495,0.495,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.910,0.771
1915,1915,0.165,0.070,0.165,0.053,0.071,0.047,0.165,0.058,0.165,0.196,0.165,0.139,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.016,0.058,0.041,0.196,0.165,0.165,0.063,0.019,0.165,0.165,0.063,0.165,0.165,0.196,0.058,0.165,0.058,0.058,0.063,0.139,0.165
1916,1916,0.031,0.031,0.031,0.031,0.581,0.049,0.031,0.135,0.138,0.135,0.031,0.681,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.021,0.008,0.031,0.135,0.031,0.576,0.008,0.014,0.058,0.172,0.031,0.008,0.014,0.008,0.008,0.017,0.031,0.417,0.046,0.008,0.140
1917,1917,0.884,0.880,0.884,0.880,0.808,0.686,0.884,0.884,0.884,0.884,0.884,0.880,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884,0.884
1918,1918,0.685,0.170,0.685,0.170,0.055,0.055,0.685,0.685,0.036,0.685,0.685,0.156,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.096,0.685,0.685,0.685,0.685,0.100,0.685,0.096,0.537,0.665,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.170,0.685,0.091,0.264
1919,1919,0.940,0.940,0.940,0.940,0.777,0.777,0.940,0.940,0.940,0.940,0.940,0.875,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.602,0.940,0.940,0.940,0.602,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.940,0.868
1920,1920,0.975,0.975,0.898,0.975,0.881,0.788,0.975,0.975,0.975,0.975,0.975,0.898,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.993
1921,1921,0.888,0.454,0.888,0.454,0.454,0.672,0.888,0.888,0.888,0.888,0.888,0.857,0.888,0.113,0.888,0.888,0.113,0.888,0.113,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.113,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888
1922,1922,0.195,0.013,0.195,0.013,0.041,0.038,0.195,0.156,0.103,0.165,0.263,0.237,0.195,0.093,0.300,0.132,0.084,0.195,0.084,0.195,0.132,0.195,0.195,0.104,0.057,0.156,0.195,0.195,0.242,0.174,0.140,0.078,0.276,0.093,0.090,0.195,0.195,0.083,0.195,0.297,0.156,0.072,0.293,0.074
1923,1923,0.027,0.027,0.027,0.027,0.587,0.049,0.027,0.237,0.114,0.237,0.027,0.587,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.085,0.015,0.027,0.237,0.027,0.637,0.015,0.085,0.017,0.101,0.027,0.011,0.014,0.016,0.015,0.016,0.027,0.131,0.017,0.084,0.054
1924,1924,0.961,0.710,0.932,0.710,0.875,0.771,0.961,0.961,0.961,0.961,0.961,0.876,0.961,0.872,0.961,0.961,0.872,0.961,0.872,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.872,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.236,0.961
1925,1925,0.745,0.745,0.745,0.745,0.799,0.685,0.745,0.745,0.745,0.745,0.745,0.841,0.745,0.745,0.290,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.184,0.745,0.745,0.745,0.745,0.365,0.745,0.184,0.184,0.365,0.290,0.752,0.396,0.745,0.745,0.745,0.745,0.745,0.385,0.498,0.592
1926,1926,0.269,0.269,0.269,0.269,0.025,0.029,0.269,0.126,0.269,0.269,0.192,0.025,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.022,0.022,0.357,0.269,0.269,0.029,0.142,0.026,0.269,0.269,0.016,0.178,0.407,0.220,0.269,0.166,0.133,0.038,0.154,0.178,0.060
1927,1927,0.015,0.015,0.015,0.015,0.150,0.093,0.015,0.015,0.049,0.015,0.397,0.150,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.041,0.003,0.397,0.015,0.015,0.150,0.003,0.153,0.015,0.196,0.015,0.215,0.150,0.361,0.015,0.397,0.397,0.010,0.053,0.260,0.101
1928,1928,0.880,0.430,0.880,0.430,0.458,0.666,0.880,0.880,0.880,0.880,0.880,0.609,0.880,0.678,0.880,0.880,0.678,0.880,0.678,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.678,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880,0.880
1929,1929,0.061,0.056,0.331,0.056,0.170,0.203,0.061,0.061,0.061,0.061,0.061,0.067,0.061,0.083,0.234,0.061,0.083,0.061,0.083,0.030,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.107,0.061,0.061,0.061,0.061,0.061,0.027,0.375,0.243,0.061,0.204,0.061,0.061,0.198,0.314,0.202,0.198
1930,1930,0.618,0.064,0.618,0.064,0.535,0.052,0.618,0.618,0.618,0.618,0.907,0.565,0.618,0.032,0.618,0.618,0.032,0.618,0.032,0.618,0.618,0.618,0.618,0.093,0.618,0.618,0.618,0.618,0.618,0.618,0.078,0.093,0.317,0.618,0.272,0.618,0.618,0.618,0.618,0.211,0.211,0.618,0.501,0.363
1931,1931,0.539,0.118,0.539,0.118,0.179,0.011,0.539,0.539,0.539,0.539,0.807,0.203,0.539,0.636,0.806,0.621,0.395,0.539,0.395,0.539,0.621,0.539,0.539,0.466,0.539,0.539,0.539,0.539,0.539,0.539,0.333,0.204,0.539,0.829,0.539,0.673,0.672,0.539,0.672,0.672,0.674,0.545,0.198,0.673
1932,1932,0.113,0.113,0.113,0.113,0.790,0.790,0.113,0.113,0.113,0.113,0.113,0.790,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.487,0.113,0.113,0.113,0.113,0.136,0.113,0.136,0.487,0.136,0.113,0.487,0.487,0.733,0.231,0.487,0.113,0.487,0.113,0.113,0.780
1933,1933,0.905,0.500,0.905,0.807,0.803,0.321,0.905,0.905,0.905,0.905,0.977,0.807,0.905,0.905,0.909,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.977,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.909,0.905,0.905,0.977,0.905,0.905,0.905,0.965,0.244,0.905,0.448
1934,1934,0.869,0.428,0.869,0.428,0.771,0.667,0.869,0.869,0.869,0.869,0.869,0.841,0.869,0.644,0.869,0.869,0.644,0.869,0.644,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.644,0.869,0.869,0.869,0.869,0.869,0.769,0.869,0.869,0.078,0.869
1935,1935,0.081,0.081,0.081,0.081,0.130,0.081,0.081,0.081,0.081,0.081,0.081,0.130,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.024,0.019,0.081,0.081,0.081,0.222,0.019,0.147,0.122,0.122,0.081,0.042,0.276,0.081,0.081,0.081,0.081,0.117,0.698,0.132,0.151
1936,1936,0.052,0.160,0.014,0.160,0.169,0.157,0.052,0.052,0.052,0.052,0.052,0.160,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.014,0.052,0.052,0.052,0.052,0.197,0.052,0.169,0.052,0.052,0.057,0.057,0.057,0.052,0.052,0.173,0.052
1937,1937,0.720,0.804,0.373,0.804,0.779,0.667,0.720,0.720,0.720,0.720,0.720,0.373,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.804,0.720,0.720,0.720,0.720,0.720,0.981,0.720,0.804,0.720
1938,1938,0.037,0.037,0.037,0.037,0.480,0.480,0.037,0.037,0.127,0.037,0.901,0.480,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.160,0.037,0.901,0.037,0.037,0.538,0.037,0.160,0.082,0.538,0.037,0.901,0.082,0.256,0.037,0.901,0.901,0.037,0.142,0.132,0.078
1939,1939,0.184,0.583,0.184,0.583,0.800,0.693,0.184,0.184,0.184,0.184,0.184,0.800,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.583,0.184,0.818,0.184,0.184,0.184,0.184,0.032,0.184,0.184,0.826,0.566
1940,1940,0.019,0.019,0.019,0.019,0.589,0.050,0.019,0.138,0.164,0.138,0.019,0.589,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.093,0.008,0.019,0.138,0.019,0.553,0.008,0.051,0.024,0.087,0.019,0.009,0.011,0.046,0.008,0.017,0.019,0.015,0.019,0.106,0.065
1941,1941,0.423,0.423,0.423,0.423,0.021,0.010,0.423,0.423,0.423,0.423,0.423,0.112,0.423,0.400,0.321,0.146,0.423,0.423,0.423,0.423,0.400,0.423,0.423,0.072,0.029,0.423,0.423,0.049,0.308,0.029,0.091,0.423,0.423,0.146,0.049,0.535,0.049,0.423,0.049,0.760,0.327,0.308,0.156,0.082
1942,1942,0.074,0.435,0.074,0.435,0.780,0.684,0.074,0.074,0.074,0.074,0.074,0.784,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.050,0.074,0.074,0.074,0.074,0.034,0.074,0.043,0.050,0.077,0.074,0.422,0.054,0.138,0.074,0.074,0.074,0.054,0.054,0.435,0.170
1943,1943,0.948,0.902,0.871,0.902,0.808,0.688,0.948,0.948,0.948,0.948,0.948,0.821,0.948,0.902,0.948,0.948,0.902,0.948,0.902,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948
1944,1944,0.071,0.071,0.071,0.071,0.790,0.790,0.071,0.071,0.071,0.071,0.071,0.790,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.499,0.071,0.071,0.071,0.071,0.062,0.071,0.062,0.499,0.062,0.071,0.068,0.499,0.704,0.059,0.499,0.071,0.499,0.112,0.071,0.780
1945,1945,0.041,0.035,0.018,0.035,0.033,0.048,0.041,0.010,0.105,0.016,0.097,0.050,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.022,0.041,0.041,0.041,0.025,0.018,0.033,0.041,0.022,0.425,0.020,0.158,0.035,0.172,0.216,0.028,0.041,0.142,0.010,0.041,0.011,0.012,0.020,0.221,0.085
1946,1946,0.707,0.707,0.175,0.707,0.103,0.101,0.707,0.707,0.707,0.707,0.707,0.070,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.044,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.111,0.707,0.707,0.707,0.707,0.707,0.020,0.339,0.707,0.707,0.339,0.707,0.707,0.707,0.101,0.339,0.707
1947,1947,0.709,0.709,0.709,0.709,0.042,0.074,0.709,0.709,0.709,0.709,0.709,0.042,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.042,0.112,0.709,0.709,0.709,0.399,0.112,0.139,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.139,0.709
1948,1948,0.086,0.054,0.086,0.054,0.112,0.057,0.086,0.086,0.036,0.086,0.086,0.164,0.086,0.062,0.330,0.086,0.062,0.086,0.062,0.086,0.086,0.086,0.086,0.029,0.086,0.086,0.086,0.086,0.033,0.086,0.024,0.332,0.144,0.086,0.296,0.183,0.086,0.086,0.390,0.137,0.151,0.559,0.069,0.308
1949,1949,0.021,0.132,0.021,0.021,0.058,0.050,0.021,0.021,0.010,0.021,0.394,0.058,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.023,0.007,0.021,0.021,0.021,0.006,0.007,0.081,0.021,0.021,0.041,0.074,0.021,0.021,0.252,0.021,0.021,0.010,0.072,0.070,0.088
1950,1950,0.004,0.004,0.004,0.004,0.514,0.056,0.004,0.040,0.072,0.040,0.218,0.514,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.073,0.002,0.218,0.040,0.004,0.498,0.002,0.073,0.004,0.051,0.004,0.049,0.003,0.078,0.002,0.081,0.043,0.034,0.040,0.076,0.017
1951,1951,0.158,0.474,0.055,0.144,0.066,0.052,0.158,0.158,0.061,0.158,0.158,0.058,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.042,0.158,0.158,0.158,0.056,0.024,0.158,0.158,0.042,0.187,0.024,0.145,0.144,0.388,0.158,0.189,0.325,0.158,0.158,0.158,0.158,0.254,0.214,0.150,0.375
1952,1952,0.175,0.245,0.175,0.245,0.570,0.421,0.175,0.175,0.175,0.175,0.248,0.811,0.175,0.092,0.153,0.175,0.092,0.175,0.092,0.175,0.175,0.175,0.175,0.509,0.175,0.248,0.175,0.175,0.175,0.175,0.308,0.509,0.175,0.143,0.638,0.166,0.208,0.166,0.247,0.428,0.408,0.120,0.452,0.100
1953,1953,0.021,0.837,0.201,0.837,0.195,0.553,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.201,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.262,0.021,0.021,0.021,0.021,0.021,0.837,0.061,0.021,0.061,0.262,0.061,0.061,0.262,0.021,0.201,0.021
1954,1954,0.674,0.088,0.674,0.088,0.164,0.053,0.674,0.674,0.356,0.674,0.885,0.438,0.674,0.297,0.815,0.681,0.099,0.674,0.099,0.674,0.681,0.674,0.674,0.117,0.674,0.815,0.674,0.674,0.628,0.674,0.210,0.502,0.865,0.297,0.815,0.674,0.815,0.674,0.815,0.815,0.674,0.098,0.199,0.267
1955,1955,0.030,0.075,0.052,0.017,0.098,0.028,0.030,0.103,0.013,0.103,0.030,0.034,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.033,0.103,0.030,0.103,0.052,0.191,0.030,0.055,0.138,0.066,0.030,0.018,0.018,0.030,0.028,0.103,0.037,0.014,0.153,0.028,0.030
1956,1956,0.080,0.085,0.178,0.085,0.176,0.197,0.080,0.080,0.080,0.080,0.080,0.024,0.080,0.085,0.080,0.080,0.085,0.080,0.085,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.138,0.080,0.080,0.080,0.080,0.080,0.080,0.176,0.080,0.080,0.138,0.080,0.138,0.080,0.080,0.178,0.080
1957,1957,0.879,0.081,0.879,0.376,0.083,0.049,0.879,0.879,0.879,0.879,0.879,0.275,0.879,0.926,0.958,0.904,0.813,0.879,0.813,0.879,0.904,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.275,0.879,0.879,0.926,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.813,0.081,0.879
1958,1958,0.217,0.203,0.217,0.203,0.788,0.693,0.217,0.217,0.217,0.217,0.217,0.841,0.217,0.203,0.344,0.217,0.203,0.217,0.203,0.217,0.217,0.217,0.217,0.228,0.217,0.217,0.217,0.217,0.317,0.217,0.354,0.228,0.317,0.400,0.753,0.450,0.217,0.217,0.228,0.217,0.166,0.456,0.217,0.693
1959,1959,0.067,0.067,0.067,0.067,0.125,0.078,0.067,0.067,0.067,0.067,0.067,0.125,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.023,0.014,0.067,0.067,0.067,0.193,0.014,0.124,0.073,0.432,0.067,0.067,0.096,0.411,0.067,0.067,0.067,0.176,0.176,0.100,0.269
1960,1960,0.723,0.754,0.723,0.754,0.775,0.672,0.723,0.723,0.723,0.723,0.723,0.732,0.723,0.312,0.723,0.723,0.312,0.723,0.312,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.312,0.747,0.723,0.723,0.723,0.827,0.747,0.849,0.723,0.747,0.197
1961,1961,0.442,0.442,0.192,0.442,0.178,0.100,0.442,0.442,0.442,0.442,0.442,0.264,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.192,0.120,0.442,0.442,0.442,0.120,0.442,0.442,0.442,0.442,0.192,0.442,0.442,0.442,0.209,0.442,0.302
1962,1962,0.929,0.718,0.929,0.718,0.437,0.660,0.929,0.929,0.929,0.929,0.929,0.437,0.929,0.718,0.929,0.929,0.718,0.929,0.718,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929
1963,1963,0.584,0.563,0.584,0.563,0.071,0.011,0.584,0.584,0.316,0.584,0.872,0.401,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.167,0.584,0.584,0.584,0.584,0.674,0.584,0.057,0.492,0.674,0.584,0.584,0.584,0.584,0.584,0.584,0.067,0.584,0.584,0.165,0.155
1964,1964,0.830,0.830,0.830,0.830,0.533,0.452,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.533,0.830,0.533,0.533,0.622,0.533,0.533,0.533,0.830,0.830,0.533
1965,1965,0.726,0.196,0.726,0.196,0.923,0.923,0.726,0.726,0.726,0.726,0.726,0.938,0.726,0.223,0.794,0.726,0.223,0.726,0.223,0.726,0.726,0.726,0.726,0.717,0.726,0.726,0.726,0.726,0.649,0.726,0.739,0.717,0.649,0.567,0.586,0.660,0.764,0.726,0.726,0.414,0.785,0.869,0.649,0.674
1966,1966,0.938,0.316,0.938,0.316,0.841,0.736,0.938,0.938,0.938,0.938,0.938,0.883,0.938,0.582,0.938,0.938,0.582,0.938,0.582,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.773,0.938,0.938,0.938,0.773,0.582,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.917
1967,1967,0.101,0.310,0.213,0.310,0.800,0.703,0.101,0.101,0.101,0.101,0.101,0.831,0.101,0.043,0.125,0.101,0.043,0.101,0.043,0.101,0.101,0.101,0.101,0.141,0.101,0.101,0.101,0.101,0.101,0.101,0.104,0.141,0.101,0.072,0.362,0.417,0.050,0.101,0.101,0.458,0.247,0.222,0.274,0.133
1968,1968,0.122,0.122,0.009,0.122,0.110,0.424,0.122,0.122,0.200,0.122,0.945,0.110,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.020,0.122,0.122,0.122,0.405,0.122,0.945,0.122,0.020,0.770,0.122,0.405,0.405,0.770,0.122,0.945,0.405,0.945,0.122,0.945,0.945,0.122,0.152,0.137,0.403
1969,1969,0.449,0.556,0.449,0.449,0.007,0.013,0.449,0.449,0.449,0.449,0.449,0.014,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.315,0.449,0.449,0.449,0.449,0.449,0.449,0.055,0.449,0.449,0.449,0.449,0.055,0.055,0.449,0.007,0.449
1970,1970,0.654,0.654,0.654,0.654,0.267,0.085,0.654,0.654,0.083,0.654,0.713,0.267,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.083,0.654,0.654,0.654,0.654,0.382,0.654,0.083,0.654,0.382,0.713,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.149,0.080
1971,1971,0.990,0.732,0.990,0.732,0.898,0.839,0.990,0.990,0.990,0.990,0.990,0.960,0.990,0.657,0.997,0.950,0.407,0.990,0.407,0.990,0.950,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.657,0.990,0.990,0.407,0.990,0.990,0.990,0.990,0.990,0.407,0.490
1972,1972,0.806,0.389,0.806,0.470,0.640,0.048,0.806,0.806,0.806,0.806,0.865,0.646,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.470,0.806,0.806,0.806,0.806,0.806,0.806,0.091,0.470,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.083,0.806
1973,1973,0.916,0.852,0.916,0.852,0.669,0.669,0.916,0.916,0.916,0.916,0.916,0.429,0.916,0.852,0.916,0.916,0.852,0.916,0.852,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916
1974,1974,0.042,0.133,0.042,0.133,0.652,0.054,0.042,0.083,0.154,0.083,0.042,0.652,0.042,0.042,0.106,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.063,0.030,0.042,0.083,0.042,0.257,0.030,0.036,0.098,0.095,0.106,0.079,0.063,0.109,0.042,0.051,0.053,0.158,0.045,0.083,0.239
1975,1975,0.698,0.698,0.285,0.698,0.075,0.079,0.698,0.698,0.444,0.698,0.926,0.212,0.698,0.788,0.375,0.372,0.698,0.698,0.698,0.448,0.788,0.698,0.698,0.444,0.698,0.926,0.698,0.071,0.444,0.698,0.444,0.698,0.698,0.114,0.026,0.698,0.441,0.698,0.441,0.175,0.698,0.122,0.153,0.127
1976,1976,0.565,0.361,0.482,0.361,0.817,0.710,0.565,0.565,0.565,0.565,0.565,0.629,0.565,0.318,0.565,0.565,0.318,0.565,0.318,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.583,0.565,0.565,0.565,0.583,0.726,0.254,0.301,0.565,0.565,0.565,0.625,0.565,0.264,0.254,0.709
1977,1977,0.057,0.057,0.057,0.057,0.587,0.049,0.057,0.231,0.200,0.231,0.057,0.587,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.011,0.023,0.057,0.231,0.057,0.675,0.023,0.011,0.028,0.167,0.057,0.011,0.011,0.011,0.023,0.231,0.057,0.231,0.028,0.078,0.085
1978,1978,0.723,0.168,0.723,0.175,0.628,0.054,0.723,0.723,0.723,0.723,0.713,0.628,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.163,0.723,0.735,0.723,0.424,0.723,0.723,0.723,0.723,0.437,0.723,0.723,0.424,0.165
